SACK,Window Size(in kB),CCP,Link Delay(in ms),Link Drop %,Time Taken,Throughput,System Time,Latency
0,16,reno,2,0.5,1.06,446.62,1.14,0.08
0,16,reno,2,5,0.98,562.0,1.22,0.24
0,16,reno,50,0.5,1.36,397.2,1.44,0.08
0,16,reno,50,5,1.28,425.0,1.46,0.18
0,16,cubic,2,0.5,0.68,376.526,0.92,0.24
0,16,cubic,2,5,2.04,342.0,2.36,0.32
0,16,cubic,50,0.5,2.34,341.4,3.78,1.44
0,16,cubic,50,5,3.42,162.6,9.42,6.0
0,256,reno,2,0.5,2.32,279.6,2.48,0.16
0,256,reno,2,5,1.18,435.2,1.36,0.18
0,256,reno,50,0.5,1.74,230.84,2.78,1.04
0,256,reno,50,5,0.68,581.61,0.94,0.26
0,256,cubic,2,0.5,1.16,544.0,1.18,0.02
0,256,cubic,2,5,0.76,680.4,2.24,1.48
0,256,cubic,50,0.5,1.52,413.6,1.82,0.3
0,256,cubic,50,5,1.34,475.2,2.16,0.82
1,16,reno,2,0.5,1.4,396.6,1.46,0.06
1,16,reno,2,5,0.66,806.0,0.72,0.06
1,16,reno,50,0.5,0.94,624.6,0.94,0.0
1,16,reno,50,5,0.5,564.09,0.5,0.0
1,16,cubic,2,0.5,3.76,382.46,3.8,0.04
1,16,cubic,2,5,1.14,467.4,1.24,0.1
1,16,cubic,50,0.5,0.74,501.678,0.8,0.06
1,16,cubic,50,5,1.12,485.2,1.22,0.1
1,256,reno,2,0.5,0.7,760.2,0.7,0.0
1,256,reno,2,5,0.98,417.006,1.24,0.26
1,256,reno,50,0.5,0.96,570.0,1.16,0.2
1,256,reno,50,5,1.02,589.8,1.34,0.32
1,256,cubic,2,0.5,0.9,574.6,1.32,0.42
1,256,cubic,2,5,1.1,528.2,1.18,0.08
1,256,cubic,50,0.5,2.26,316.92,2.72,0.46
1,256,cubic,50,5,1.14,463.4,1.4,0.26
