iter,CW
1,5.5
2,7.0
3,8.5
4,10.0
5,11.5
6,13.0
7,14.5
8,16.0
9,17.5
10,19.0
11,20.5
12,22.0
13,23.5
14,25.0
15,26.5
16,28.0
17,29.5
18,31.0
19,32.5
20,34.0
21,35.5
22,37.0
23,38.5
24,40.0
25,41.5
26,43.0
27,44.5
28,46.0
29,47.5
30,49.0
31,50.5
32,52.0
33,53.5
34,55.0
35,56.5
36,58.0
37,59.5
38,61.0
39,62.5
40,64.0
41,65.5
42,67.0
43,68.5
44,70.0
45,71.5
46,73.0
47,74.5
48,76.0
49,77.5
50,79.0
51,80.5
52,82.0
53,83.5
54,85.0
55,86.5
56,88.0
57,89.5
58,91.0
59,92.5
60,94.0
61,95.5
62,97.0
63,98.5
64,100.0
65,101.5
66,103.0
67,104.5
68,106.0
69,10.6
70,10.69434
71,10.7878475
72,10.880545
73,10.972452
74,11.063589
75,11.1539755
76,11.243629
77,11.332569
78,11.420811
79,11.50837
80,11.5952635
81,11.681505
82,11.767111
83,11.852094
84,11.936467
85,12.020244
86,12.103436
87,12.186058
88,12.268119
89,12.349631
90,12.430605
91,12.511051
92,12.590981
93,12.670403
94,12.749327
95,12.827763
96,12.905719
97,12.983204
98,13.060226
99,13.136795
100,13.212917
101,13.288601
102,13.363853
103,13.438683
104,13.513095
105,13.587097
106,13.660696
107,13.733899
108,13.806711
109,13.87914
110,13.951191
111,14.022869
112,14.094181
113,14.1651325
114,14.235728
115,14.305974
116,14.3758745
117,14.445436
118,14.514662
119,14.583558
120,14.652128
121,14.720378
122,14.788311
123,14.855932
124,14.923245
125,14.990255
126,15.056966
127,15.123381
128,15.189504
129,15.255339
130,15.320889
131,15.38616
132,15.451154
133,15.515874
134,15.580324
135,15.644507
136,15.708427
137,15.772087
138,15.83549
139,15.89864
140,15.961538
141,16.024189
142,16.086596
143,16.14876
144,1.614876
145,2.2341187
146,2.6817224
147,3.0546172
148,3.3819904
149,3.6776743
150,3.9495852
151,4.2027764
152,4.4407144
153,4.6659036
154,4.880224
155,5.085133
156,5.2817845
157,5.4711146
158,5.6538925
159,5.830762
160,6.002266
161,6.1688695
162,6.3309736
163,6.4889274
164,6.643036
165,6.7935696
166,6.940768
167,7.084844
168,7.2259903
169,7.3643794
170,7.5001683
171,7.6334987
172,7.7645
173,7.8932915
174,8.019981
175,8.14467
176,8.267449
177,8.388406
178,8.507618
179,8.625159
180,8.741099
181,8.855501
182,8.968426
183,9.079928
184,9.190062
185,9.298875
186,9.406415
187,9.512726
188,1.0
189,2.0
190,2.5
191,2.9
192,3.2448277
193,3.5530105
194,3.834462
195,4.095255
196,4.33944
197,4.5698843
198,1.0
199,2.0
200,2.5
201,2.9
202,3.2448277
203,3.5530105
204,3.834462
205,4.095255
206,4.33944
207,4.5698843
208,4.788708
209,4.997533
210,5.1976314
211,5.3900266
212,5.5755544
213,5.7549086
214,5.9286733
215,6.097345
216,6.2613506
217,6.4210606
218,6.576798
219,6.7288475
220,6.8774614
221,7.022864
222,7.165256
223,7.304818
224,7.4417143
225,7.576092
226,7.708086
227,7.83782
228,7.9654064
229,8.090949
230,8.214544
231,8.33628
232,8.456238
233,8.574493
234,8.691118
235,8.806178
236,8.919735
237,9.031846
238,9.142566
239,9.251945
240,9.36003
241,9.466867
242,9.572499
243,9.676965
244,9.780303
245,9.882549
246,9.983738
247,10.0839
248,10.183068
249,10.281271
250,10.378535
251,10.474888
252,10.570354
253,10.664959
254,10.758724
255,10.851672
256,10.943824
257,11.035199
258,11.125818
259,11.215699
260,11.30486
261,11.393317
262,11.481088
263,11.568188
264,11.654632
265,11.740435
266,11.82561
267,11.910172
268,11.994134
269,12.077508
270,12.160307
271,12.242541
272,12.3242235
273,12.405365
274,12.485975
275,12.566065
276,12.645644
277,12.724723
278,12.80331
279,12.881415
280,12.959046
281,13.036213
282,13.112923
283,13.189183
284,13.265003
285,13.340389
286,13.41535
287,13.489891
288,13.56402
289,13.637745
290,13.711071
291,13.784005
292,13.856553
293,13.928721
294,14.000516
295,14.071942
296,14.143005
297,14.213712
298,14.284066
299,14.3540745
300,14.423741
301,14.493072
302,14.56207
303,14.630741
304,14.69909
305,14.767121
306,14.834839
307,14.902247
308,14.969352
309,15.036155
310,15.102661
311,15.168875
312,15.234799
313,15.300439
314,15.365796
315,15.430876
316,15.495681
317,15.560215
318,15.624481
319,15.688483
320,15.752224
321,15.815707
322,15.878936
323,15.941913
324,16.00464
325,16.067122
326,16.12936
327,16.191359
328,16.25312
329,16.314648
330,16.375942
331,16.437008
332,16.497847
333,16.55846
334,16.618853
335,16.679026
336,16.738981
337,16.798721
338,16.85825
339,16.917568
340,16.976679
341,17.035583
342,17.094284
343,17.152782
344,17.211082
345,17.269184
346,17.327091
347,17.384804
348,17.442326
349,17.499657
350,17.5568
351,17.613758
352,17.670532
353,17.727123
354,17.783533
355,1.7783533
356,2.3406713
357,2.767899
358,3.1291838
359,3.448756
360,3.7387156
361,4.006187
362,4.2558007
363,4.490774
364,4.713453
365,4.9256115
366,5.128632
367,5.323616
368,5.5114584
369,5.6928988
370,5.868556
371,6.0389557
372,6.2045474
373,6.3657193
374,6.522811
375,6.676119
376,6.8259063
377,6.972407
378,7.1158295
379,7.256361
380,7.394171
381,7.5294127
382,7.6622252
383,7.7927356
384,7.92106
385,8.047306
386,8.171571
387,8.293946
388,8.414516
389,8.533359
390,8.650546
391,8.766146
392,8.880221
393,8.992831
394,9.104031
395,9.213872
396,9.322404
397,9.429672
398,9.535721
399,9.64059
400,9.744318
401,9.846942
402,9.948496
403,10.049013
404,10.148525
405,10.247062
406,10.34465
407,10.4413185
408,10.537092
409,10.631995
410,10.726051
411,10.819283
412,10.91171
413,11.003354
414,11.094235
415,11.184372
416,11.273783
417,11.362484
418,11.450493
419,11.537826
420,11.624497
421,11.710523
422,11.795916
423,11.880691
424,11.964861
425,12.048439
426,12.131437
427,12.213868
428,12.295742
429,12.377071
430,12.457866
431,12.5381365
432,12.617893
433,12.697145
434,12.775904
435,12.8541765
436,12.9319725
437,13.0093
438,13.086168
439,13.162585
440,13.238558
441,13.314095
442,13.389203
443,13.46389
444,13.538163
445,13.612028
446,13.6854925
447,13.758563
448,13.831245
449,13.903545
450,13.97547
451,14.047024
452,14.118214
453,14.189044
454,14.259521
455,14.329649
456,14.399434
457,14.468882
458,14.537995
459,14.606781
460,14.675242
461,14.743384
462,14.811212
463,14.878728
464,14.945938
465,15.012846
466,15.079455
467,15.145771
468,15.211796
469,15.2775345
470,15.34299
471,15.408166
472,15.473066
473,1.5473067
474,2.1935909
475,2.6494644
476,3.026899
477,3.3572702
478,3.6551313
479,3.9287193
480,4.183255
481,4.4223037
482,4.6484303
483,4.863557
484,5.0691676
485,5.2664385
486,1.0
487,2.0
488,2.5
489,2.9
490,3.2448277
491,3.5530105
492,3.834462
493,4.095255
494,4.33944
495,4.5698843
496,4.788708
497,4.997533
498,5.1976314
499,5.3900266
500,5.5755544
501,5.7549086
502,5.9286733
503,6.097345
504,6.2613506
505,6.4210606
506,6.576798
507,6.7288475
508,6.8774614
509,7.022864
510,7.165256
511,7.304818
512,7.4417143
513,7.576092
514,7.708086
515,7.83782
516,7.9654064
517,8.090949
518,8.214544
519,8.33628
520,8.456238
521,8.574493
522,8.691118
523,8.806178
524,8.919735
525,9.031846
526,9.142566
527,9.251945
528,9.36003
529,9.466867
530,9.572499
531,9.676965
532,9.780303
533,9.882549
534,9.983738
535,10.0839
536,10.183068
537,10.281271
538,10.378535
539,10.474888
540,10.570354
541,10.664959
542,10.758724
543,10.851672
544,10.943824
545,11.035199
546,11.125818
547,11.215699
548,11.30486
549,11.393317
550,11.481088
551,1.1481088
552,2.0191064
553,2.514375
554,2.9120882
555,3.2554843
556,3.5626583
557,3.8433475
558,4.1035376
559,4.34723
560,4.5772614
561,4.7957325
