iter,CW
1,2.5
2,4.0
3,5.5
4,7.0
5,8.5
6,10.0
7,11.5
8,13.0
9,14.5
10,16.0
11,17.5
12,19.0
13,20.5
14,22.0
15,23.5
16,25.0
17,26.5
18,28.0
19,29.5
20,31.0
21,32.5
22,34.0
23,35.5
24,37.0
25,38.5
26,40.0
27,41.5
28,43.0
29,44.5
30,46.0
31,47.5
32,49.0
33,50.5
34,52.0
35,53.5
36,55.0
37,56.5
38,58.0
39,59.5
40,61.0
41,62.5
42,64.0
43,65.5
44,67.0
45,68.5
46,70.0
47,71.5
48,73.0
49,74.5
50,76.0
51,77.5
52,79.0
53,80.5
54,82.0
55,83.5
56,85.0
57,86.5
58,88.0
59,89.5
60,91.0
61,92.5
62,94.0
63,95.5
64,97.0
65,98.5
66,100.0
67,101.5
68,103.0
69,104.5
70,106.0
71,107.5
72,109.0
73,110.5
74,112.0
75,113.5
76,115.0
77,116.5
78,118.0
79,119.5
80,121.0
81,122.5
82,124.0
83,125.5
84,127.0
85,128.5
86,130.0
87,131.5
88,133.0
89,134.5
90,136.0
91,137.5
92,139.0
93,140.5
94,142.0
95,143.5
96,145.0
97,146.5
98,148.0
99,149.5
100,151.0
101,152.5
102,154.0
103,155.5
104,157.0
105,158.5
106,160.0
107,161.5
108,163.0
109,164.5
110,166.0
111,167.5
112,169.0
113,170.5
114,172.0
115,173.5
116,175.0
117,176.5
118,178.0
119,179.5
120,181.0
121,182.5
122,184.0
123,185.5
124,187.0
125,188.5
126,190.0
127,191.5
128,193.0
129,194.5
130,196.0
131,197.5
132,199.0
133,200.5
134,202.0
135,203.5
136,205.0
137,206.5
138,208.0
139,209.5
140,211.0
141,212.5
142,214.0
143,215.5
144,217.0
145,218.5
146,220.0
147,221.5
148,223.0
149,224.5
150,226.0
151,227.5
152,229.0
153,230.5
154,232.0
155,233.5
156,235.0
157,236.5
158,238.0
159,239.5
160,241.0
161,242.5
162,244.0
163,245.5
164,247.0
165,248.5
166,250.0
167,251.5
168,253.0
169,254.5
170,256.0
171,257.5
172,259.0
173,260.5
174,262.0
175,263.5
176,265.0
177,266.5
178,268.0
179,269.5
180,271.0
181,272.5
182,274.0
183,275.5
184,277.0
185,278.5
186,280.0
187,281.5
188,283.0
189,284.5
190,286.0
191,287.5
192,289.0
193,290.5
194,292.0
195,293.5
196,295.0
197,296.5
198,298.0
199,299.5
200,301.0
201,302.5
202,304.0
203,305.5
204,307.0
205,308.5
206,310.0
207,311.5
208,313.0
209,314.5
210,316.0
211,317.5
212,319.0
213,320.5
214,322.0
215,323.5
216,325.0
217,32.5
218,32.515385
219,32.53076
220,32.54613
221,32.561493
222,32.576847
223,32.592194
224,32.607536
225,32.62287
226,32.6382
227,32.65352
228,32.66883
229,32.684135
230,32.699432
231,32.71472
232,32.730007
233,32.745285
234,32.760555
235,32.775818
236,32.791073
237,32.80632
238,32.82156
239,32.836792
240,32.85202
241,32.86724
242,32.882454
243,32.89766
244,32.912857
245,32.928047
246,32.943233
247,32.958412
248,32.973583
249,32.988747
250,33.003902
251,33.01905
252,33.034195
253,33.04933
254,33.06446
255,33.079582
256,33.094696
257,33.109806
258,33.12491
259,33.140003
260,33.15509
261,33.17017
262,33.185246
263,33.200314
264,33.215374
265,33.230427
266,33.245472
267,33.260513
268,33.275547
269,33.290573
270,33.30559
271,33.320602
272,33.33561
273,33.35061
274,33.3656
275,33.380585
276,33.395565
277,33.410538
278,33.425503
279,33.44046
280,33.455414
281,33.47036
282,33.4853
283,33.50023
284,33.515156
285,33.530075
286,33.544987
287,33.55989
288,33.57479
289,33.589684
290,33.60457
291,33.619446
292,33.63432
293,33.649185
294,33.664043
295,33.678898
296,33.693745
297,33.708584
298,33.723415
299,33.738243
300,33.753063
301,33.767876
302,33.782684
303,33.797485
304,33.81228
305,33.827065
306,33.841846
307,33.85662
308,33.871387
309,33.88615
310,33.900906
311,33.915653
312,33.930397
313,33.945133
314,33.95986
315,33.974586
316,33.989304
317,34.004013
318,34.01872
319,34.033417
320,34.048107
321,34.062794
322,34.077473
323,34.092144
324,34.10681
325,34.12147
326,34.136124
327,34.150772
328,34.165413
329,34.180046
330,34.194675
331,34.209297
332,34.22391
333,34.23852
334,34.253124
335,34.267723
336,34.282314
337,3.4282315
338,3.5740793
339,3.7139754
340,3.848602
341,3.9785194
342,4.104194
343,4.226021
344,4.3443356
345,4.459428
346,4.57155
347,4.680922
348,4.787739
349,4.8921723
350,4.994376
351,5.0944886
352,5.192634
353,5.288924
354,5.3834615
355,5.4763384
356,5.5676403
357,5.657445
358,5.745824
359,5.832844
360,5.9185653
361,6.003045
362,6.086336
363,6.1684875
364,6.2495446
365,6.3295503
366,6.408545
367,1.0
368,1.5
369,1.8333334
370,2.1060607
371,2.3434708
372,2.5568295
373,2.7523842
374,2.9340448
375,3.104458
376,3.2655168
377,3.4186318
378,3.5648892
379,3.705146
380,3.8400936
381,3.9702988
382,4.096234
383,4.218297
384,4.336828
385,4.45212
386,4.564426
387,4.673969
388,4.7809443
389,4.885526
390,4.9878693
391,5.0881124
392,5.1863804
393,5.282787
394,1.0
395,1.5
396,1.8333334
397,2.1060607
398,2.3434708
399,2.5568295
400,2.7523842
401,2.9340448
402,3.104458
403,3.2655168
404,3.4186318
405,3.5648892
406,3.705146
407,3.8400936
408,3.9702988
409,4.096234
410,4.218297
411,4.336828
412,4.45212
413,4.564426
414,4.673969
415,4.7809443
416,4.885526
417,4.9878693
418,5.0881124
419,5.1863804
420,5.282787
421,5.377434
422,5.470415
423,5.5618157
424,5.6517143
425,5.740183
426,5.827288
427,5.913091
428,5.997649
429,6.081015
430,1.0
431,1.5
432,1.8333334
433,2.1060607
434,2.3434708
435,2.5568295
436,2.7523842
437,2.9340448
438,3.104458
439,3.2655168
440,3.4186318
441,3.5648892
442,3.705146
443,3.8400936
444,3.9702988
445,4.096234
446,4.218297
447,4.336828
448,4.45212
449,4.564426
450,4.673969
451,4.7809443
452,4.885526
453,4.9878693
454,5.0881124
455,5.1863804
456,5.282787
457,5.377434
458,5.470415
459,5.5618157
460,5.6517143
461,5.740183
462,5.827288
463,5.913091
464,5.997649
465,6.081015
466,6.163238
467,6.2443643
468,6.3244367
469,6.4034953
470,6.481578
471,6.5587196
472,6.634954
