iter,CW
1,2.5
2,4.0
3,5.5
4,7.0
5,8.5
6,10.0
7,11.5
8,13.0
9,14.5
10,16.0
11,17.5
12,19.0
13,20.5
14,22.0
15,23.5
16,25.0
17,26.5
18,28.0
19,29.5
20,31.0
21,32.5
22,34.0
23,35.5
24,37.0
25,38.5
26,40.0
27,41.5
28,43.0
29,44.5
30,46.0
31,47.5
32,49.0
33,50.5
34,52.0
35,53.5
36,55.0
37,56.5
38,58.0
39,59.5
40,61.0
41,62.5
42,64.0
43,65.5
44,67.0
45,68.5
46,70.0
47,71.5
48,73.0
49,74.5
50,76.0
51,77.5
52,79.0
53,80.5
54,82.0
55,83.5
56,85.0
57,86.5
58,88.0
59,89.5
60,91.0
61,92.5
62,94.0
63,95.5
64,97.0
65,98.5
66,100.0
67,101.5
68,103.0
69,104.5
70,106.0
71,107.5
72,109.0
73,110.5
74,112.0
75,113.5
76,115.0
77,116.5
78,118.0
79,119.5
80,121.0
81,122.5
82,124.0
83,125.5
84,127.0
85,128.5
86,130.0
87,131.5
88,133.0
89,134.5
90,136.0
91,137.5
92,139.0
93,140.5
94,142.0
95,143.5
96,145.0
97,146.5
98,148.0
99,149.5
100,151.0
101,152.5
102,154.0
103,155.5
104,157.0
105,158.5
106,160.0
107,161.5
108,163.0
109,164.5
110,166.0
111,167.5
112,169.0
113,170.5
114,172.0
115,173.5
116,175.0
117,176.5
118,178.0
119,179.5
120,181.0
121,182.5
122,184.0
123,185.5
124,187.0
125,188.5
126,190.0
127,191.5
128,193.0
129,194.5
130,196.0
131,197.5
132,199.0
133,200.5
134,202.0
135,203.5
136,205.0
137,206.5
138,208.0
139,209.5
140,211.0
141,212.5
142,214.0
143,215.5
144,217.0
145,218.5
146,220.0
147,221.5
148,223.0
149,224.5
150,226.0
151,227.5
152,229.0
153,230.5
154,232.0
155,233.5
156,235.0
157,236.5
158,238.0
159,239.5
160,241.0
161,242.5
162,244.0
163,245.5
164,247.0
165,248.5
166,250.0
167,251.5
168,253.0
169,254.5
170,256.0
171,257.5
172,259.0
173,260.5
174,262.0
175,263.5
176,265.0
177,266.5
178,268.0
179,269.5
180,271.0
181,272.5
182,274.0
183,275.5
184,277.0
185,278.5
186,280.0
187,281.5
188,283.0
189,284.5
190,286.0
191,287.5
192,289.0
193,290.5
194,292.0
195,293.5
196,295.0
197,296.5
198,298.0
199,299.5
200,301.0
201,302.5
202,304.0
203,305.5
204,307.0
205,308.5
206,310.0
207,311.5
208,313.0
209,314.5
210,316.0
211,317.5
212,319.0
213,320.5
214,322.0
215,323.5
216,325.0
217,326.5
218,328.0
219,329.5
220,331.0
221,332.5
222,334.0
223,335.5
224,337.0
225,338.5
226,340.0
227,341.5
228,343.0
229,344.5
230,346.0
231,347.5
232,349.0
233,350.5
234,352.0
235,353.5
236,355.0
237,356.5
238,358.0
239,359.5
240,361.0
241,362.5
242,36.25
243,36.277588
244,36.305153
245,36.3327
246,36.36022
247,36.387726
248,36.415207
249,36.44267
250,36.470108
251,36.497528
252,36.52493
253,36.552307
254,36.579666
255,36.607002
256,36.63432
257,36.661617
258,36.688892
259,36.71615
260,36.743385
261,36.7706
262,36.797794
263,36.82497
264,36.852127
265,36.87926
266,36.906376
267,36.93347
268,36.96055
269,36.987606
270,37.01464
271,37.041656
272,37.068653
273,37.09563
274,37.12259
275,37.14953
276,37.176445
277,37.203342
278,37.23022
279,37.25708
280,37.28392
281,37.31074
282,37.337543
283,37.364326
284,37.39109
285,37.417835
286,37.44456
287,37.471268
288,37.497955
289,37.524624
290,37.551273
291,37.577904
292,37.604515
293,37.631107
294,37.65768
295,37.684235
296,37.71077
297,37.737286
298,37.763786
299,37.790268
300,37.81673
301,37.843174
302,37.8696
303,37.896004
304,3.7896004
305,4.0534806
306,4.3001823
307,4.5327306
308,4.7533484
309,4.9637265
310,5.165188
311,5.358792
312,5.545401
313,5.725731
314,5.900381
315,6.069862
316,6.23461
317,6.395005
318,6.5513773
319,6.704017
320,6.8531814
321,6.999099
322,7.1419744
323,7.281992
324,7.4193172
325,7.5541005
326,7.686479
327,7.816578
328,7.944511
329,8.070384
330,8.194294
331,8.31633
332,8.436575
333,8.555106
334,8.671995
335,8.787309
336,8.901109
337,9.013454
338,9.1244
339,9.233996
340,9.342292
341,9.449332
342,9.55516
343,9.659815
344,9.763336
345,9.86576
346,9.96712
347,10.067451
348,10.16678
349,10.26514
350,10.362556
351,10.459058
352,10.554668
353,10.649413
354,10.743315
355,10.836396
356,10.928678
357,11.02018
358,11.110923
359,11.200924
360,11.290202
361,11.378775
362,11.466658
363,11.553867
364,11.640418
365,11.726326
366,11.8116045
367,11.896267
368,11.980327
369,12.063797
370,12.146689
371,12.229016
372,12.310789
373,12.392018
374,12.472715
375,12.552891
376,12.632554
377,12.711715
378,12.790382
379,12.8685665
380,12.946276
381,13.023518
382,13.100302
383,13.176636
384,13.252527
385,13.327985
386,13.403015
387,13.477625
388,13.551822
389,13.625612
390,13.699003
391,13.772001
392,13.844612
393,13.916842
394,13.988698
395,14.0601845
396,14.131308
397,14.202072
398,14.272485
399,14.342549
400,14.4122715
401,14.481657
402,14.55071
403,14.619435
404,14.687838
405,14.755921
406,14.82369
407,14.8911495
408,14.958303
409,15.025156
410,15.091711
411,15.157972
412,15.223945
413,15.289631
414,15.355035
415,15.42016
416,15.48501
417,15.549589
418,15.613899
419,15.677945
420,15.741729
421,15.805254
422,15.868525
423,15.931542
424,15.994311
425,16.056833
426,16.119112
427,16.18115
428,16.24295
429,16.304516
430,16.365849
431,16.42695
432,16.487825
433,16.548475
434,16.608904
435,16.669113
436,16.729105
437,16.788881
438,16.848444
439,16.907797
440,16.966942
441,17.02588
442,17.084616
443,17.143148
444,17.20148
445,17.259615
446,17.317554
447,17.3753
448,17.432852
449,17.490215
450,17.54739
451,17.604378
452,17.661182
453,17.717804
454,17.774244
455,17.830505
456,1.7830505
457,2.343887
458,2.7705288
459,3.1314707
460,3.4508095
461,3.7405965
462,1.0
463,2.0
464,2.5
465,2.9
466,3.2448277
467,3.5530105
468,3.834462
469,4.095255
470,4.33944
471,4.5698843
472,4.788708
473,4.997533
474,5.1976314
475,5.3900266
476,5.5755544
477,5.7549086
478,5.9286733
479,6.097345
480,6.2613506
