iter,CW
1,5.0
2,6.0
3,7.0
4,8.0
5,9.0
6,10.0
7,11.0
8,12.0
9,13.0
10,14.0
11,15.0
12,16.0
13,17.0
14,18.0
15,19.0
16,20.0
17,21.0
18,22.0
19,23.0
20,24.0
21,25.0
22,26.0
23,27.0
24,28.0
25,29.0
26,30.0
27,31.0
28,32.0
29,33.0
30,34.0
31,35.0
32,36.0
33,37.0
34,38.0
35,39.0
36,40.0
37,41.0
38,42.0
39,43.0
40,44.0
41,45.0
42,46.0
43,47.0
44,48.0
45,49.0
46,50.0
47,51.0
48,52.0
49,53.0
50,54.0
51,55.0
52,56.0
53,57.0
54,58.0
55,59.0
56,60.0
57,61.0
58,62.0
59,63.0
60,64.0
61,65.0
62,66.0
63,67.0
64,68.0
65,69.0
66,70.0
67,71.0
68,72.0
69,73.0
70,74.0
71,75.0
72,76.0
73,77.0
74,78.0
75,79.0
76,80.0
77,81.0
78,82.0
79,83.0
80,84.0
81,85.0
82,86.0
83,87.0
84,88.0
85,89.0
86,90.0
87,91.0
88,92.0
89,93.0
90,94.0
91,95.0
92,96.0
93,97.0
94,98.0
95,99.0
96,100.0
97,101.0
98,102.0
99,103.0
100,104.0
101,105.0
102,10.5
103,10.547619
104,10.595023
105,10.642215
106,10.689198
107,10.735973
108,10.782546
109,10.8289175
110,10.875091
111,10.921067
112,10.96685
113,11.012443
114,11.057846
115,11.103063
116,11.148095
117,11.1929455
118,11.237617
119,11.28211
120,11.326428
121,11.370573
122,11.414546
123,11.45835
124,11.5019865
125,11.545457
126,11.588764
127,11.631909
128,11.674894
129,11.717721
130,11.760391
131,11.802907
132,11.845269
133,11.88748
134,11.929541
135,11.971454
136,12.01322
137,12.054841
138,12.096318
139,12.137653
140,12.178847
141,12.219902
142,12.2608185
143,12.301599
144,12.342243
145,12.382754
146,12.423133
147,12.463381
148,12.503498
149,12.543487
150,12.583348
151,12.623083
152,12.662693
153,12.702179
154,12.741542
155,12.780784
156,12.819905
157,12.858907
158,12.89779
159,12.936556
160,12.975206
161,13.0137415
162,13.052162
163,13.09047
164,13.128666
165,13.166751
166,13.204725
167,13.242591
168,13.280348
169,13.317997
170,13.35554
171,13.392978
172,13.43031
173,13.46754
174,13.504666
175,13.541691
176,13.578614
177,13.615437
178,13.65216
179,13.688784
180,13.72531
181,13.76174
182,13.798073
183,13.83431
184,13.870452
185,13.9065
186,13.942454
187,13.978316
188,14.014086
189,14.049765
190,14.085352
191,14.12085
192,14.156259
193,14.191579
194,14.226811
195,14.261956
196,14.297014
197,14.331986
198,14.366874
199,14.401676
200,14.436395
201,14.471029
202,14.505581
203,14.5400505
204,14.574438
205,14.608745
206,14.642971
207,14.677117
208,14.711184
209,14.745172
210,14.779081
211,14.812913
212,14.846667
213,14.880345
214,14.913947
215,14.947473
216,14.980923
217,15.014298
218,15.0476
219,15.080828
220,15.113982
221,15.147064
222,15.180074
223,15.213012
224,15.245878
225,15.278674
226,15.311399
227,15.344055
228,15.376641
229,15.409158
230,15.441606
231,15.473986
232,15.506298
233,15.538543
234,15.570721
235,15.602832
236,15.634877
237,15.666857
238,15.698771
239,15.730621
240,15.762406
241,15.794127
242,15.825785
243,15.857379
244,15.88891
245,15.920379
246,15.951785
247,15.9831295
248,16.014412
249,16.045633
250,16.076794
251,16.107895
252,16.138935
253,16.169916
254,16.200838
255,16.2317
256,16.262505
257,16.293251
258,16.323938
259,16.354568
260,16.385141
261,16.415657
262,16.446115
263,16.476519
264,16.506865
265,16.537155
266,16.56739
267,16.59757
268,16.627695
269,16.657766
270,16.687782
271,16.717745
272,16.747654
273,16.77751
274,16.807312
275,16.83706
276,16.866756
277,16.8964
278,16.925993
279,16.955534
280,16.985023
281,1.6985024
282,1.9928794
283,2.2437727
284,2.4666116
285,2.669319
286,2.8566327
287,3.031664
288,3.19659
289,3.3530066
290,3.5021265
291,3.6448967
292,3.782075
293,3.9142776
294,4.042015
295,4.1657157
296,4.285743
297,4.402409
298,4.515983
299,4.626701
300,4.7347693
301,4.840371
302,4.943669
303,5.0448084
304,5.14392
305,5.2411222
306,5.3365216
307,5.430216
308,5.522293
309,5.6128354
310,5.701917
311,5.789607
312,5.875969
313,5.9610615
314,6.044939
315,6.1276526
316,6.20925
317,6.289775
318,6.369269
319,6.447771
320,6.525317
321,6.6019416
322,6.6776767
323,6.752553
324,6.826599
325,6.8998423
326,6.9723077
327,7.04402
328,7.115002
329,7.185276
330,7.254863
331,7.323782
332,7.3920527
333,7.459693
334,7.52672
335,7.59315
336,7.658999
337,7.724282
338,7.789013
339,7.8532057
340,7.916874
341,7.98003
342,8.042686
343,8.104855
344,8.166546
345,8.227771
346,8.288541
347,8.3488655
348,8.408754
349,8.468216
350,8.52726
351,8.585896
352,8.644131
353,8.701973
354,8.759431
355,8.816512
356,8.873224
357,8.929574
358,8.985568
359,9.041213
360,9.096516
361,9.151482
362,9.206118
363,9.260429
364,9.314423
365,9.368103
366,9.421475
367,9.4745455
368,9.527318
369,9.579799
370,9.631992
371,9.683903
372,9.735535
373,9.786893
374,9.837981
375,9.888804
376,9.939366
377,9.989672
378,10.039723
379,10.089525
380,10.139082
381,10.188396
382,10.237472
383,10.286312
384,10.33492
385,10.3833
386,10.431454
387,10.479385
388,10.527098
389,10.5745945
390,10.621878
391,10.66895
392,10.715815
393,1.0715815
394,1.5381815
395,1.8632407
396,2.1315904
397,2.366157
398,2.57747
399,2.7714586
400,2.951869
401,3.1212533
402,3.2814453
403,3.4338171
404,3.5794277
405,3.7191148
406,3.8535554
407,3.9833057
408,4.1088295
409,4.230519
410,4.3487077
411,4.4636846
412,4.5757
413,4.684973
414,4.791697
415,4.8960443
416,4.9981675
417,5.098204
418,5.196278
419,5.292501
420,5.3869743
421,5.4797907
422,5.571035
423,5.6607847
424,5.7491117
425,5.8360815
426,5.9217553
427,6.00619
428,6.0894375
429,6.171547
430,6.252564
431,6.332531
432,6.4114885
433,6.4894733
434,6.566521
435,6.642665
436,6.717936
437,6.7923636
438,6.865976
439,6.938799
440,7.0108576
441,7.0821757
442,7.1527753
443,7.222678
444,7.2919044
445,7.3604736
446,7.428404
447,7.495713
448,7.562418
449,7.6285343
450,7.6940775
451,7.759063
452,7.8235035
453,7.8874135
454,7.9508057
455,8.013692
456,8.076085
457,1.0
458,1.5
459,1.8333334
460,2.1060607
461,2.3434708
462,2.5568295
463,2.7523842
464,2.9340448
465,3.104458
466,3.2655168
467,3.4186318
468,3.5648892
469,3.705146
470,3.8400936
471,3.9702988
472,4.096234
473,4.218297
474,4.336828
475,4.45212
476,4.564426
477,4.673969
478,4.7809443
479,4.885526
480,4.9878693
481,5.0881124
482,5.1863804
483,5.282787
484,5.377434
485,5.470415
486,5.5618157
487,5.6517143
488,5.740183
489,5.827288
490,5.913091
491,5.997649
492,6.081015
493,6.163238
494,6.2443643
495,6.3244367
496,6.4034953
497,6.481578
498,6.5587196
499,6.634954
500,6.7103124
501,6.7848244
502,6.858518
503,6.9314203
504,7.003556
505,7.0749483
506,7.1456203
507,7.2155933
508,7.284888
509,7.3535233
510,7.421518
511,7.4888897
512,7.5556555
513,7.621831
514,7.687432
515,7.752473
516,7.8169684
517,7.880932
518,7.944376
519,8.007314
520,8.0697565
521,8.131716
522,1.0
523,1.5
524,1.8333334
525,2.1060607
526,2.3434708
