iter,CW
1,5.5
2,7.0
3,8.5
4,10.0
5,11.5
6,13.0
7,14.5
8,16.0
9,17.5
10,19.0
11,20.5
12,22.0
13,23.5
14,25.0
15,26.5
16,28.0
17,29.5
18,31.0
19,32.5
20,34.0
21,35.5
22,37.0
23,38.5
24,40.0
25,41.5
26,43.0
27,44.5
28,46.0
29,47.5
30,49.0
31,50.5
32,52.0
33,53.5
34,55.0
35,56.5
36,58.0
37,59.5
38,61.0
39,62.5
40,64.0
41,65.5
42,67.0
43,68.5
44,70.0
45,71.5
46,73.0
47,74.5
48,76.0
49,77.5
50,79.0
51,80.5
52,82.0
53,83.5
54,85.0
55,86.5
56,88.0
57,89.5
58,91.0
59,92.5
60,94.0
61,95.5
62,97.0
63,98.5
64,100.0
65,101.5
66,103.0
67,104.5
68,106.0
69,107.5
70,109.0
71,110.5
72,112.0
73,113.5
74,115.0
75,116.5
76,118.0
77,119.5
78,121.0
79,122.5
80,124.0
81,125.5
82,127.0
83,128.5
84,130.0
85,131.5
86,133.0
87,134.5
88,136.0
89,137.5
90,139.0
91,140.5
92,142.0
93,143.5
94,145.0
95,146.5
96,148.0
97,149.5
98,151.0
99,152.5
100,154.0
101,155.5
102,157.0
103,158.5
104,160.0
105,161.5
106,163.0
107,164.5
108,166.0
109,167.5
110,169.0
111,170.5
112,172.0
113,173.5
114,175.0
115,176.5
116,178.0
117,179.5
118,181.0
119,182.5
120,184.0
121,185.5
122,187.0
123,188.5
124,190.0
125,191.5
126,193.0
127,194.5
128,196.0
129,197.5
130,199.0
131,200.5
132,202.0
133,203.5
134,205.0
135,206.5
136,208.0
137,209.5
138,211.0
139,212.5
140,214.0
141,215.5
142,217.0
143,218.5
144,220.0
145,221.5
146,223.0
147,224.5
148,226.0
149,227.5
150,229.0
151,230.5
152,232.0
153,233.5
154,235.0
155,236.5
156,238.0
157,239.5
158,241.0
159,242.5
160,244.0
161,245.5
162,247.0
163,248.5
164,250.0
165,251.5
166,253.0
167,254.5
168,256.0
169,257.5
170,259.0
171,260.5
172,262.0
173,263.5
174,265.0
175,266.5
176,268.0
177,269.5
178,271.0
179,272.5
180,274.0
181,275.5
182,277.0
183,278.5
184,280.0
185,281.5
186,283.0
187,284.5
188,286.0
189,287.5
190,289.0
191,290.5
192,292.0
193,293.5
194,295.0
195,296.5
196,298.0
197,299.5
198,301.0
199,302.5
200,304.0
201,305.5
202,307.0
203,308.5
204,310.0
205,311.5
206,313.0
207,314.5
208,316.0
209,317.5
210,319.0
211,320.5
212,322.0
213,323.5
214,325.0
215,326.5
216,328.0
217,329.5
218,331.0
219,332.5
220,334.0
221,335.5
222,337.0
223,338.5
224,340.0
225,341.5
226,343.0
227,344.5
228,346.0
229,347.5
230,349.0
231,350.5
232,352.0
233,353.5
234,355.0
235,356.5
236,358.0
237,359.5
238,361.0
239,362.5
240,364.0
241,365.5
242,367.0
243,368.5
244,370.0
245,371.5
246,373.0
247,374.5
248,376.0
249,377.5
250,379.0
251,380.5
252,382.0
253,383.5
254,385.0
255,386.5
256,388.0
257,389.5
258,391.0
259,392.5
260,394.0
261,395.5
262,397.0
263,398.5
264,400.0
265,401.5
266,403.0
267,404.5
268,406.0
269,407.5
270,409.0
271,410.5
272,412.0
273,413.5
274,415.0
275,416.5
276,418.0
277,419.5
278,421.0
279,422.5
280,424.0
281,425.5
282,427.0
283,428.5
284,430.0
285,431.5
286,433.0
287,434.5
288,436.0
289,437.5
290,439.0
291,440.5
292,442.0
293,443.5
294,445.0
295,446.5
296,448.0
297,449.5
298,451.0
299,452.5
300,454.0
301,455.5
302,457.0
303,458.5
304,460.0
305,461.5
306,463.0
307,464.5
308,466.0
309,467.5
310,469.0
311,470.5
312,472.0
313,473.5
314,475.0
315,476.5
316,478.0
317,479.5
318,481.0
319,482.5
320,484.0
321,485.5
322,487.0
323,488.5
324,490.0
325,491.5
326,493.0
327,494.5
328,496.0
329,497.5
330,499.0
331,500.5
332,502.0
333,503.5
334,505.0
335,506.5
336,508.0
337,509.5
338,511.0
339,512.5
340,514.0
341,515.5
342,517.0
343,518.5
344,520.0
345,521.5
346,523.0
347,524.5
348,526.0
349,527.5
350,529.0
351,530.5
352,532.0
353,533.5
354,535.0
355,536.5
356,538.0
357,539.5
358,541.0
359,542.5
360,544.0
361,545.5
362,547.0
363,548.5
364,550.0
365,551.5
366,553.0
367,554.5
368,556.0
369,557.5
370,559.0
371,560.5
372,562.0
373,563.5
374,565.0
375,566.5
376,568.0
377,569.5
378,571.0
379,572.5
380,574.0
381,575.5
382,577.0
383,578.5
384,580.0
385,581.5
386,583.0
387,584.5
388,586.0
389,587.5
390,589.0
391,590.5
392,592.0
393,593.5
394,595.0
395,596.5
396,598.0
397,599.5
398,601.0
399,602.5
400,604.0
401,605.5
402,607.0
403,608.5
404,610.0
405,611.5
406,613.0
407,614.5
408,616.0
409,617.5
410,619.0
411,620.5
412,622.0
413,623.5
414,625.0
415,626.5
416,628.0
417,629.5
418,631.0
419,632.5
420,634.0
421,635.5
422,637.0
423,638.5
424,640.0
425,641.5
426,643.0
427,644.5
428,646.0
429,647.5
430,649.0
431,650.5
432,652.0
433,653.5
434,655.0
435,656.5
436,658.0
437,659.5
438,661.0
439,662.5
440,664.0
441,665.5
442,667.0
443,668.5
444,670.0
445,671.5
446,673.0
447,674.5
448,676.0
449,677.5
450,679.0
451,680.5
452,682.0
453,683.5
454,685.0
455,686.5
456,688.0
457,689.5
458,691.0
459,692.5
460,694.0
461,695.5
462,697.0
463,698.5
464,700.0
465,701.5
466,703.0
467,704.5
468,706.0
469,707.5
470,709.0
471,710.5
472,712.0
473,713.5
474,715.0
475,716.5
476,718.0
477,719.5
478,721.0
479,722.5
480,724.0
481,725.5
482,727.0
483,728.5
484,730.0
485,731.5
486,733.0
487,734.5
488,736.0
489,737.5
490,739.0
491,740.5
492,742.0
493,743.5
494,745.0
495,746.5
496,748.0
497,749.5
498,751.0
499,752.5
500,754.0
501,755.5
502,757.0
503,758.5
504,760.0
505,761.5
506,763.0
507,764.5
508,766.0
509,767.5
510,769.0
511,770.5
512,770.5
513,770.5007
514,770.50134
515,770.502
516,770.5027
517,770.50336
518,770.504
519,770.5047
520,770.5054
521,770.50604
522,770.5067
523,770.5074
524,770.50806
525,770.5087
526,770.5094
527,770.5101
528,770.51074
529,770.5114
530,770.5121
531,770.51276
532,770.5134
533,770.5141
534,770.5148
535,770.51544
536,770.5161
537,770.5168
538,770.51746
539,770.5181
540,770.5188
541,770.5195
542,770.52014
543,770.5208
544,770.5215
545,770.52216
546,770.5228
547,770.5235
548,770.5242
549,770.52484
550,770.5255
551,770.5262
552,770.52686
553,770.5275
554,770.5282
555,770.5289
556,770.52954
557,770.5302
558,770.5309
559,770.53156
560,770.5322
561,770.5329
562,770.53357
563,770.53424
564,770.5349
565,770.5356
566,770.53625
567,770.5369
568,770.5376
569,770.53827
570,770.53894
571,770.5396
572,770.5403
573,770.54095
574,770.5416
575,770.5423
576,770.54297
577,770.54364
578,770.5443
579,770.545
580,770.54565
581,770.5463
582,770.547
583,770.54767
584,770.54834
585,770.549
586,770.5497
587,770.55035
588,770.551
589,770.5517
590,770.55237
591,770.55304
592,770.5537
593,770.5544
594,770.55505
595,770.5557
596,770.5564
597,770.55707
598,770.55774
599,770.5584
600,770.5591
601,770.55975
602,770.5604
603,770.5611
604,770.56177
605,770.56244
606,770.5631
607,770.5638
608,770.56445
609,770.5651
610,770.5658
611,770.56647
612,770.56714
613,770.5678
614,770.5685
615,770.56915
616,770.5698
617,770.5705
618,770.57117
619,770.57184
620,770.5725
621,770.5732
622,770.57385
623,770.5745
624,770.5752
625,770.57587
626,770.57654
627,770.5772
628,770.5779
629,770.57855
630,770.5792
631,770.5799
632,770.58057
633,770.58124
634,770.5819
635,770.5826
636,770.58325
637,770.5839
638,770.5846
